product,price,quantity,date,region
pink morsel,$3.00 ,526,10/13/2020,north
pink morsel,$3.00 ,546,10/13/2020,south
pink morsel,$3.00 ,505,10/13/2020,east
pink morsel,$3.00 ,561,10/13/2020,west
gold morsel,$9.99 ,553,10/13/2020,north
gold morsel,$9.99 ,513,10/13/2020,south
gold morsel,$9.99 ,575,10/13/2020,east
gold morsel,$9.99 ,599,10/13/2020,west
magenta morsel,$2.50 ,544,10/13/2020,north
magenta morsel,$2.50 ,542,10/13/2020,south
magenta morsel,$2.50 ,507,10/13/2020,east
magenta morsel,$2.50 ,568,10/13/2020,west
chartreuse morsel,$3.00 ,509,10/13/2020,north
chartreuse morsel,$3.00 ,582,10/13/2020,south
chartreuse morsel,$3.00 ,517,10/13/2020,east
chartreuse morsel,$3.00 ,583,10/13/2020,west
periwinkle morsel,$1.25 ,511,10/13/2020,north
periwinkle morsel,$1.25 ,598,10/13/2020,south
periwinkle morsel,$1.25 ,546,10/13/2020,east
periwinkle morsel,$1.25 ,599,10/13/2020,west
vermilion morsel,$4.99 ,555,10/13/2020,north
vermilion morsel,$4.99 ,543,10/13/2020,south
vermilion morsel,$4.99 ,527,10/13/2020,east
vermilion morsel,$4.99 ,581,10/13/2020,west
lapis morsel,$1.99 ,504,10/13/2020,north
lapis morsel,$1.99 ,536,10/13/2020,south
lapis morsel,$1.99 ,518,10/13/2020,east
lapis morsel,$1.99 ,573,10/13/2020,west
pink morsel,$3.00 ,560,10/14/2020,north
pink morsel,$3.00 ,585,10/14/2020,south
pink morsel,$3.00 ,528,10/14/2020,east
pink morsel,$3.00 ,530,10/14/2020,west
gold morsel,$9.99 ,559,10/14/2020,north
gold morsel,$9.99 ,501,10/14/2020,south
gold morsel,$9.99 ,519,10/14/2020,east
gold morsel,$9.99 ,580,10/14/2020,west
magenta morsel,$2.50 ,515,10/14/2020,north
magenta morsel,$2.50 ,556,10/14/2020,south
magenta morsel,$2.50 ,585,10/14/2020,east
magenta morsel,$2.50 ,518,10/14/2020,west
chartreuse morsel,$3.00 ,596,10/14/2020,north
chartreuse morsel,$3.00 ,592,10/14/2020,south
chartreuse morsel,$3.00 ,536,10/14/2020,east
chartreuse morsel,$3.00 ,597,10/14/2020,west
periwinkle morsel,$1.25 ,500,10/14/2020,north
periwinkle morsel,$1.25 ,584,10/14/2020,south
periwinkle morsel,$1.25 ,510,10/14/2020,east
